taxon_no,taxon_rank,taxon_name,parent_no
130225,family,Aegocrioceratidae,130063
13946,order,Prolecanitida,14505
93226,suborder,Prolecanitina,13946
93227,superfamily,Prolecanitaceae,93226
93230,family,Daraelitidae,93227
87341,family,Prolecanitidae,93227
148555,superfamily,Medlicottioidea,13946
93247,family,Medlicottiidae,86635
93241,family,Shikhanitidae,86635
93256,family,Darvasiceratidae,86635
93235,family,Pronoritidae,86635
93243,family,Propinacoceratidae,86635
93257,family,Sundaitidae,86635
94123,suborder,Ceratitina,14505
133066,superfamily,Ptychoceratoidea,14505
130400,family,Macroscaphitidae,133066
133065,family,Hamulinidae,133066
133081,family,Megacrioceratidae,133066
94116,order,Praeglyphiocerida,14505
132690,family,Dipoloceratidae,14505
253002,order,Psiloceratida,14505
129965,superfamily,Bochianitoidea,14505
129922,family,Bochianitidae,129965
144711,family,Lenticeratidae,14505
338369,family,Eulophoceratidae,14505
264070,family,Proplanulitidae,14505
95930,family,Tissotiidae,14505
95935,family,Phlycticrioceratidae,14505
129198,suborder,Ancyloceratina,14505
129762,superfamily,Douvilleicerataceae,129198
84970,family,Parahoplitidae,129762
130412,family,Douvilleiceratidae,129762
134154,superfamily,Deshayesitaceae,129198
144188,family,Deshayesitidae,134154
130824,superfamily,Ancyloceratoidea,129198
133054,family,Leptoceratoididae,86770
133073,family,Hemihoplitidae,86770
94467,family,Ancyloceratidae,86770
133069,family,Acrioceratidae,86770
84989,family,Ptychoceratidae,86770
131060,family,Crioceratitidae,86770
97561,family,Heteroceratidae,86770
86771,family,Labeceratidae,86770
131055,family,Himantoceratidae,86770
130834,superfamily,Scaphitoidea,129198
95940,family,Scaphitidae,129211
130842,superfamily,Turrilitoidea,129198
96545,family,Anisoceratidae,129199
333433,family,Algeritidae,129199
59287,family,Baculitidae,129199
96540,family,Hamitidae,129199
95937,family,Nostoceratidae,129199
145293,family,Jouaniceratidae,129199
95939,family,Diplomoceratidae,129199
95378,family,Turrilitidae,129199
122382,subclass,Actinoceratoidea,12315
61323,order,Nautiloidea,12315
309615,suborder,Ascoceratina,61323
309663,suborder,Discosorina,61323
127937,family,Cyrtogomphoceratidae,309663
309616,suborder,Oncoceratina,61323
97338,suborder,Orthochoanites,61323
86649,family,Ophioceratidae,97338
309606,suborder,Michelinoceratina,61323
309600,suborder,Actinoceratina,61323
309603,family,Lambeoceratidae,309600
122536,family,Armenoceratidae,309600
309599,suborder,Endoceratina,61323
122477,family,Piloceratidae,309599
325874,family,Cyrtovaginoceratidae,309599
309621,suborder,Tarphyceratina,61323
142756,order,Basslerocerida,61323
173107,family,Endocycloceratidae,12315
12316,order,Plectonocerida,12315
15917,order,Sepiida,12315
152922,family,Sepiidae,15917
327733,family,Belosaepiidae,15917
330677,family,Chondrophoridae,15917
317194,family,Belosepiidae,15917
147788,order,Tarphycerida,12315
128187,family,Tarphyceratidae,13347
173877,family,Discoceratidae,13347
128188,family,Estonioceratidae,13347
335688,family,Ophidioceratidae,13347
330686,family,Barrandeoceratidae,13347
103406,family,Trocholitidae,13347
134405,superfamily,Mesoteuthoidea,12315
134414,family,Kelaenidae,134405
134410,family,Paleololiginidae,134405
134406,family,Beloteuthidae,134405
171450,family,Deltoceratidae,12315
13131,order,Nautilida,12315
199593,family,Dentoceratidae,13131
339254,superfamily,Clydonautiloidea,13131
128372,family,Clydonautilidae,128370
110592,family,Liroceratidae,128370
128382,family,Gonionautilidae,128370
110594,family,Ephippoceratidae,128370
128383,family,Siberionautilidae,128370
314873,suborder,Tainoceratina,13131
314872,superfamily,Temnocheilaceae,314873
314868,family,Temnocheilidae,314872
199561,family,Aktubonautilidae,13131
122380,superfamily,Tainocerataceae,13131
128293,family,Rhiphaeoceratidae,122380
199542,family,Gzheloceratidae,122380
128301,family,Koninckioceratidae,122380
199551,family,Mosquoceratidae,122380
128294,family,Tetragonoceratidae,122380
314869,suborder,Rutoceratina,13131
314870,superfamily,Rutocerataceae,87497
128406,family,Neptunoceratidae,314870
87496,family,Rutoceratidae,314870
199577,family,Thrincoceratidae,13131
310717,family,Permonautilidae,13131
166364,family,Domatoceratidae,13131
