,Extant
442,Clavagella
443,Mirapecten
444,Isocardia
445,Aloidis
446,Cultellus
447,Mabellarca
448,Brachydontes
449,Austrovenus
450,Notocallista
451,Soletellina
452,Gonimyrtea
453,Serratina
454,Semimytilus
455,Lamya
456,Divalinga
457,Notolimea
458,Parvicardium
459,Neotrapezium
460,Chaceia
461,Humilaria
462,Protothaca
463,Tresus
464,Dallicordia
465,Dermatomya
466,Netastoma
467,Mactromeris
468,Patinopecten
469,Psammobia
470,Annachlamys
471,Leda
472,Lissarca
473,Neaera
474,Cyamiomactra
475,Pascachlamys
476,Serratovola
477,Divariscintilla
478,Megayoldia
479,Cosa
480,Cyamiocardium
481,Glomus
482,Similamusium
483,Pholadomya
484,Decatopallium
485,Flexopecten
486,Pseudamussium
487,Cryptodon
488,Geloina
489,Glossus
490,Gaimardia
491,Samarangia
492,Pseudokellya
493,Epicodakia
494,Catillopecten
495,Cyamium
496,Pseudochama
497,Anisocorbula
498,Discors
499,Anguipecten
500,Crassatellites
501,Apolymetis
502,Tamu
503,Neolepton
504,Davila
505,Ctenocardia
506,Hyalopecten
507,Planktomya
508,Volsella
509,Hemipecten
510,Lissochlamys
511,Macrodon
512,Monia
513,Pinguitellina
514,Rocellaria
515,Joannisiella
516,Modiola
517,Clementia
518,Arcopaginula
519,Zenatia
520,Cyclomactra
521,Longimactra
522,Poroleda
523,Maorithyas
524,Tahunanuia
525,Diplothyra
526,Marikellia
527,Huxleyia
528,Veprichlamys
529,Lincula
530,Arthritica
531,Neaeromya
532,Pycnodonte
533,Arctinula
534,Katadesmia
535,Asperarca
536,Pycnodonta
537,Cetomya
538,Microyoldia
539,Lepton
540,Amussium
541,Iacra
542,Pisidium
543,Kidderia
544,Choromytilus
545,Idas
546,Dulcina
547,Monitilora
548,Heteranomia
549,Neopycnodonte
550,Lucinella
551,Polititapes
552,Syndesmya
553,Corbulomya
554,Mytilaster
555,Scrobicularia
556,Plagiocardium
557,Gastrana
558,Fabulina
559,Tridonta
560,Pharus
561,Epilepton
562,Idasola
563,Isorropodon
564,Cochlodesma
565,Clausinella
566,Modiolarca
567,Goodallia
568,Rhomboidella
569,Modiolula
570,Transenpitar
571,Dallocardia
572,Warrana
573,Bathyneaera
574,Prelametila
575,Lamellileda
576,Lamellinucula
577,Acharax
578,Mytella
579,Tellinidae
580,Xyloredo
581,Lunulicardia
582,Melaxinaea
583,Jolya
584,Granicorum
585,Myochama
586,Vimentum
587,Panacca
588,Dimya
589,Ciliatocardium
590,Dreissena
591,Saxicava
592,Altenaeum
593,Potidoma
594,Phaseolus
595,Zozia
596,Devonia
597,Mysia
598,Semierycina
599,Kurtiella
600,Vasconiella
601,Camptonectes
602,Katelysia
603,Amphilepida
604,Scacchia
605,Bathyspinula
606,Brachyodontus
607,Scutarcopagia
608,Dianadema
609,Tanysiphon
610,Villorita
611,Varotoga
612,Felania
613,Exotica
614,Aclistothyra
615,Glauconome
616,Pitaria
617,Condylocuna
618,Lentidium
619,Leptaxinus
620,Sphaerium
621,Proteopecten
622,Papillicardium
623,Temnoconcha
624,Vulcanidas
625,Capsella
626,Gonilia
627,Clausina
628,Waldo
629,Boreacola
630,Vilasina
631,Pulvinus
632,Isoconcha
633,Juxtamusium
634,Semipallium
635,Pseudohinnites
636,Haumea
637,Frigidocardium
638,Leionucula
639,Acreuciroa
640,Scaeochlamys
641,Neoteredo
642,Borniopsis
643,Agriodesma
644,Subcuspidaria
645,Felaniella
646,Dosina
647,Megapitaria
648,Heterodonax
649,Mactrellona
650,Phreagena
651,Pliocardia
652,Decipula
653,Amiantis
654,Manupecten
655,Gomphina
656,Complicachlamys
657,Elliptica
658,Nicania
659,Benthoquetia
660,Hemilepton
661,Maorimactra
662,Kennerleya
663,Pythina
664,Raetellops
665,Phlyctiderma
666,Linucula
667,Pseudamusium
668,Phylloda
669,Pectunculina
670,Kellya
671,Bornia
672,Melliteryx
673,Plectodon
674,Miodontiscus
675,Pleurodon
676,Sinibrama
677,Rhamphidonta
678,Amarilladesma
679,Pseudokellia
680,Prototaca
681,Ameghinomya
682,Tindariopsis
683,Limopsilla
684,Issina
685,Erycina
686,Bractaeochlamys
687,Striostrea
688,Byssobornia
689,Kuphus
690,Fungiacava
691,Cypraecardia
692,Centrocardita
693,Semipecten
694,Teskeyostrea
695,Fugleria
696,Choristodon
697,Spengleria
698,Haliris
699,Sphaerella
700,Pectinella
701,Rangianella
702,Comus
703,Hinnites
704,Oblimopa
705,Aeretica
706,Clathrotellina
707,Hunkydora
708,Zearcopagia
709,Pachykellya
710,Mytilimeria
711,Circenita
712,Pleuronectia
713,Axinus
714,Opisthochlamys
715,Syndosmya
716,Leiomya
717,Callogonia
718,Pectunculus
719,Arcturellina
720,Neocyrena
721,Brechites
722,Quadrans
723,Myllitella
724,Offadesma
725,Epilucina
726,Trichomusculus
727,Donacilla
728,Coleoconcha
729,Congeria
730,Waisiuconcha
731,Laubiericoncha
732,Lametila
733,Xylopholas
734,Sinepecten
735,Stavelia
736,Spinosipella
737,Chattina
738,Kelliola
739,Kelliopsis
740,Hormomya
741,Pelecyora
742,Margaritifera
743,Mancikellia
744,Loripinus
745,Peronaea
746,Pholadidea
747,Pascahinnites
748,Eopseuma
749,Coralichlamys
750,Ectenagena
751,Parathyasira
752,Timothynus
753,Galactella
754,Cunearca
755,Eastoria
756,Cytherea
757,Eutivela
758,Cadella
759,Hochstetterina
760,Corbis
761,Ungulina
762,Conchentopyx
763,Polycordia
764,Darina
765,Nettastomella
766,Edentaria
767,Babieriella
768,Miltha
769,Crenatula
770,Sagamiscintilla
771,Nudiscintilla
772,Neosolen
773,Cavilinga
774,Myrteopsis
775,Aloides
776,Echinochama
777,Rupellaria
778,Batissa
779,Petrasma
780,Comptopallium
781,Equichlamys
782,Barrimysia
783,Pharaonella
784,Hawaiarca
785,Goniocuna
786,Cribrosoconcha
787,Clistoconcha
788,Modiolatus
789,Megacardita
790,Leiosolenus
791,Pseudoneaera
792,Arculus
793,Enigmonia
794,Brachiomya
795,Parapholas
796,Montacutella
797,Pharella
798,Cymatioa
799,Divalucina
800,Gibbomodiola
801,Cultrensis
802,Lissopecten
803,Glorichlamys
804,Erodona
805,Americuna
806,Psammotreta
807,Notirus
808,Antarctolima
809,Psychrochlamys
810,Syncyclonema
811,Coelodon
812,Nanostrea
813,Laevicordia
814,Aesthenotherus
815,Senilia
816,Melina
817,Cavilucina
818,Wallucina
819,Bathyaustriella
820,Begunica
821,Spathoteredo
822,Lutetina
823,Pectum
824,Platyodon
825,Escalima
826,Pecchiolia
827,Troendleina
828,Axinopsis
829,Perumytilus
830,Cardyomia
831,Pinctata
832,Neocardium
833,Multitentacula
834,Solenomya
835,Heteroglypta
836,Arvella
837,Ptychocardia
838,Lithodomus
839,Malvufundus
840,Cleidothaerus
841,Mactrinula
842,Meganodontia
843,Cyprina
844,Henia
845,Egeria
846,Benthocardiella
847,Lanistina
848,Bellucina
849,Meiocardium
850,Galeommella
851,Bidentaria
852,Parvithracia
853,Bathytormus
854,Soletinellina
855,Ensiculus
856,Macalia
857,Penitella
858,Rostrilucina
859,Megacrenella
860,Argyrodonax
861,Oxyperas
862,Monodacna
863,Carditellona
864,Destacar
865,Cunanax
866,Hyphantosoma
867,Karnekampia
868,Sunnetta
869,Eamisiella
870,Catelysia
871,Borniola
872,Perrierina
873,Meropesta
874,Discolucina
875,Avicula
876,Thestyleda
877,Novaculina
878,Cyclotellina
879,Gloripecten
880,Jukesena
881,Macona
882,Paphirus
883,Adula
884,Tropidophora
885,Amphidesma
886,Odontogena
887,Semelilucina
888,Planidextra
889,Megaxinus
890,Adamanense
891,Bellascintilla
892,Irusella
893,Coraliarca
894,Galatheavalva
895,Arcopella
896,Papyridae
897,Protapes
898,Splengeria
899,Petunculus
900,Swiftopecten
901,Actinula
902,Clencharia
903,Sheldonella
904,Akebiconcha
905,Coyymbienchamys
906,Epidulcina
907,Malletiella
908,Europicardium
909,Joellina
910,Maoricardium
911,Coelomactra
912,Pseudarcopagia
913,Pecchiola
914,Pahlium
915,Legrandina
916,Xylotrya
917,Limnoperna
918,Barbatiella
919,Dacridium
920,Ctenamusium
921,Plurigens
922,Nanopecten
923,Anadonatia
924,Trichomya
925,Crassodoma
926,Anamolocardia
927,Graecina
928,Pseudoglomus
929,Tugonia
930,Talabrica
931,Homalina
932,Hiatula
